State,Poll Recency,Clinton,Trump,MOE,Lead,Xpos,Ypos
Alabama,27-Sep-16,32%,48%,2.00%,-16%,,
Alaska,"October 21Ð26, 2016",47%,43%,4.90%,4%,,
Arizona,"November 4Ð6, 2016",45%,47%,4.90%,-2%,,
Arkansas,"October 18Ð25, 2016",36%,59%,4.10%,-23%,,
California,"November 4Ð6, 2016",58%,35%,4.90%,23%,,
Colorado,"November 3Ð4, 2016",48%,43%,3.70%,5%,,
Connecticut,"September 2Ð5, 2016",50%,35%,3.00%,15%,,
Delaware,"September 16Ð28, 2016",51%,30%,4.10%,21%,,
Florida,6-Nov-16,46%,50%,3.30%,-4%,,
Georgia,6-Nov-16,45%,52%,2.80%,-7%,,
Idaho,"October 23Ð24, 2016",29%,48%,4.00%,-19%,,
Illinois,"October 27Ð30, 2016",53%,41%,4.30%,12%,,
Indiana,"November 1Ð3, 2016",37%,48%,4.00%,-11%,,
Iowa,"November 1Ð4, 2016",39%,46%,3.50%,-7%,,
Kansas,"November 1Ð3, 2016",34%,58%,5.50%,-24%,,
Kentucky,"October 25Ð30, 2016",37%,54%,4.00%,-17%,,
Louisiana,"October 19Ð21, 2016",35%,50%,4.40%,-15%,,
Maine,"October 28Ð30, 2016",46%,42%,3.50%,4%,,
Maryland,"September 27Ð30, 2016",63%,27%,4.00%,36%,,
Massachusetts,"October 23 Ð November 2, 2016",56%,26%,5.00%,30%,,
Michigan,6-Nov-16,47%,49%,2.80%,-2%,,
Minnesota,"October 22Ð26, 2016",49%,39%,3.90%,10%,,
Missouri,"November 4Ð5, 2016",41%,47%,3.50%,-6%,,
Montana,"October 10Ð12, 2016",36%,46%,3.20%,-10%,,
Nebraska,"September 25Ð27, 2016",29%,56%,3.60%,-27%,,
Nevada,"November 4Ð6, 2016",46%,46%,4.90%,0%,,
New Hampshire,"November 3Ð6, 2016",49%,38%,3.70%,11%,,
New Jersey,"October 27 Ð November 2, 2016",51%,40%,3.80%,11%,,
New Mexico,6-Nov-16,46%,44%,1.80%,2%,,
New York,"November 3Ð4, 2016",51%,34%,4.50%,17%,,
North Carolina,"November 4Ð6, 2016",44%,44%,3.50%,0%,,
North Dakota,"September 12Ð17, 2016",32%,43%,4.90%,-11%,,
Ohio,"October 27 Ð November 5, 2016",39%,46%,3.20%,-7%,,
Oklahoma,"October 18Ð20, 2016",30%,60%,4.30%,-30%,,
Oregon,"October 24Ð29, 2016",41%,34%,4.40%,7%,,
Pennsylvania,"November 3Ð6, 2016",46%,40%,2.80%,6%,,
Rhode Island,"October 2Ð4, 2016",52%,32%,3.40%,20%,,
South Carolina,"October 30Ð31, 2016",36%,47%,4.40%,-11%,,
South Dakota,"October 24Ð26, 2016",35%,49%,4.00%,-14%,,
Tennessee,"October 14Ð17, 2016",34%,44%,4.40%,-10%,,
Texas,"October 31 Ð November 1, 2016",35%,49%,3.60%,-14%,,
Utah,"November 3Ð5, 2016",30%,40%,2.70%,-10%,,
Vermont,"October 24Ð26, 2016",52%,26%,3.00%,26%,,
Virginia,"November 1Ð6, 2016",48%,42%,3.60%,6%,,
Washington,"November 4Ð6, 2016",55%,39%,4.90%,16%,,
West Virginia,"September 13Ð17, 2016",28%,60%,5.00%,-32%,,
Wisconsin,"November 1Ð2, 2016",49%,41%,1.90%,8%,,
Wyoming,"October 5Ð11, 2016",20%,58%,3.60%,-38%,,
